Date,Months_Since_Halving,Open,High,Low,Close,Fechamento,Volume,VIX,
01/07/2015,34,"263,35","314,39","253,51","284,65",Alta,999 892 200,"14,35",
01/06/2015,33,"230,23","267,87","221,30","263,07",Alta,629 780 200,"14,34",
01/05/2015,32,"235,94","247,80","228,57","230,19",Queda,568 122 600,"13,34",
01/04/2015,31,"244,22","261,80","214,87","236,15",Queda,672 338 700,"13,49",
01/03/2015,30,"254,28","300,04","236,51","244,22",Queda,959 098 300,"14,81",
01/02/2015,29,"216,87","265,61","212,01","254,26",Alta,711 518 700,"15,90",
01/01/2015,28,"320,43","320,43","171,51","217,46",Queda,1 098 811 912,"19,12",
01/12/2014,27,"378,25","384,04","304,23","320,19",Queda,553 102 310,"16,29",
01/11/2014,26,"338,65","457,09","320,63","378,05",Alta,659 733 360,"13,41",
01/10/2014,25,"388,20","407,70","294,90","338,65",Queda,569 000,"18,06",
01/09/2014,24,"481,80","498,50","372,60","388,20",Queda,295 620,"13,47",
01/08/2014,23,"589,50","608,20","450,00","481,80",Queda,126 170,"13,49",
01/07/2014,22,"635,10","652,50","564,00","589,50",Queda,107 220,"12,30",
01/06/2014,21,"627,90","676,50","560,80","635,10",Alta,111 810,"11,54",
01/05/2014,20,"445,60","629,00","420,20","627,90",Alta,85 750,"12,48",
01/04/2014,19,"444,70","549,00","355,70","445,60",Alta,161 160,"14,20",
01/03/2014,18,"573,90","695,40","262,80","444,70",Queda,94 270,"14,84",
01/02/2014,17,"938,80","969,20","91,70","573,90",Queda,996 350,"15,47",
01/01/2014,16,"805,90","1 093,40","771,00","938,80",Alta,306 250,"14,24",
01/12/2013,15,"1 205,70","1 239,90","454,90","805,90",Queda,920 800,"14,19",
01/11/2013,14,"211,20","1 241,90","209,70","1 205,70",Alta,1 130 000,"12,92",
01/10/2013,13,"141,90","233,40","109,70","211,20",Alta,753 580,"15,41",
01/09/2013,12,"141,00","148,90","121,30","141,90",Alta,451 290,"14,69",
01/08/2013,11,"106,20","148,70","101,00","141,00",Alta,604 910,"14,21",
01/07/2013,10,"97,50","111,70","65,40","106,20",Alta,1 140 000,"13,97",
01/06/2013,9,"128,80","130,10","88,00","97,50",Queda,1 050 000,"17,27",
01/05/2013,8,"139,20","140,10","79,00","128,80",Queda,2 070 000,"13,49",
01/04/2013,7,"93,00","266,00","50,00","139,20",Alta,4 730 000,"13,97",
01/03/2013,6,"33,40","95,70","32,90","93,00",Alta,2 120 000,"13,03",
01/02/2013,5,"20,40","34,50","18,00","33,40",Alta,1 580 000,"14,07",
01/01/2013,4,"13,50","21,40","13,20","20,40",Alta,1 460 000,"13,51",
01/12/2012,3,"12,60","13,90","12,40","13,50",Alta,876 920,"17,34",
01/11/2012,2,"11,20","12,60","10,30","12,60",Alta,804 190,"16,70",
01/10/2012,1,"12,40","13,10","9,70","11,20",Queda,1 150 000,"16,28",
01/09/2012,0,"10,20","12,70","9,70","12,40",Alta,959 780,"15,28",1º Halving
01/08/2012,-1,"9,40","15,40","7,60","10,20",Alta,2 450 000,"15,69",
01/07/2012,-2,"6,70","9,70","6,40","9,40",Alta,1 900 000,"17,56",
01/06/2012,-3,"5,20","6,80","5,20","6,70",Alta,1 380 000,"21,13",
01/05/2012,-4,"4,90","5,20","4,80","5,20",Alta,1 240 000,"21,00",
01/04/2012,-5,"4,90","5,50","4,60","4,90",Alta,1 660 000,"17,82",
01/03/2012,-6,"4,90","5,40","4,30","4,90",Alta,1 760 000,"16,17",
01/02/2012,-7,"5,50","6,20","3,90","4,90",Queda,2 840 000,"18,42",
01/01/2012,-8,"4,70","7,20","4,60","5,50",Alta,3 210 000,"20,23",
01/12/2011,-9,"3,00","5,00","2,60","4,70",Alta,1 900 000,"25,05",
01/11/2011,-10,"3,30","3,40","2,00","3,00",Queda,1 970 000,"31,94",
